Index;Date;Time;Tensao (V);Corrente (A);Potencia (W);Potencia (VA);Potencia (VAR);Fator de Potencia;Angulo (Grau);Frequencia (Hz);Energia (Wh);Energia (Wh+)
0;2024-08-02;16:06:08;129.69;0.05;0.32;6.40;6.39;0.05;-87.20;60.02;0.00;0.00;-0.00
1;2024-08-02;16:06:10;129.69;0.05;0.39;6.44;6.42;0.06;-86.60;60.03;0.00;0.00;-0.00
2;2024-08-02;16:06:10;129.70;0.05;0.38;6.40;6.39;0.06;-86.60;60.03;0.00;0.00;-0.00
3;2024-08-02;16:06:10;129.72;0.05;0.35;6.38;6.37;0.06;-86.80;60.03;0.00;0.00;-0.00
4;2024-08-02;16:06:10;129.70;0.05;0.39;6.38;6.37;0.06;-86.50;60.02;0.00;0.00;-0.00
5;2024-08-02;16:06:11;129.68;0.05;0.36;6.36;6.35;0.06;-86.80;60.02;0.00;0.00;-0.00
6;2024-08-02;16:06:11;129.68;0.05;0.37;6.37;6.36;0.06;-86.70;60.03;0.00;0.00;-0.00
7;2024-08-02;16:06:11;129.64;0.05;0.34;6.37;6.36;0.05;-86.90;60.03;0.00;0.00;-0.00
8;2024-08-02;16:06:11;129.64;0.05;0.35;6.36;6.35;0.06;-86.80;60.02;0.00;0.00;-0.00
9;2024-08-02;16:06:11;129.67;0.05;0.37;6.37;6.36;0.06;-86.70;60.03;0.00;0.00;-0.00
10;2024-08-02;16:06:11;129.69;0.05;0.38;6.38;6.37;0.06;-86.60;60.03;0.00;0.00;-0.00
11;2024-08-02;16:06:12;129.69;0.05;0.38;6.39;6.38;0.06;-86.60;60.02;0.00;0.00;-0.00
12;2024-08-02;16:06:12;129.65;0.05;0.36;6.39;6.38;0.06;-86.80;60.03;0.00;0.00;-0.00
13;2024-08-02;16:06:12;129.69;0.05;0.37;6.40;6.39;0.06;-86.70;60.03;0.00;0.00;-0.00
14;2024-08-02;16:06:12;129.70;0.05;0.34;6.38;6.37;0.05;-86.90;60.03;0.00;0.00;-0.00
15;2024-08-02;16:06:12;129.70;0.05;0.35;6.40;6.39;0.05;-86.90;60.03;0.00;0.00;-0.00
16;2024-08-02;16:06:12;129.69;0.05;0.32;6.35;6.35;0.05;-87.10;60.03;0.00;0.00;-0.00
17;2024-08-02;16:06:13;129.72;0.05;0.38;6.38;6.37;0.06;-86.60;60.03;0.00;0.00;-0.00
18;2024-08-02;16:06:13;129.71;0.05;0.30;6.34;6.33;0.05;-87.30;60.01;0.00;0.00;-0.00
19;2024-08-02;16:06:13;129.70;0.05;0.40;6.41;6.39;0.06;-86.50;60.02;0.00;0.00;-0.00
20;2024-08-02;16:06:13;129.61;0.05;0.31;6.35;6.34;0.05;-87.20;60.02;0.00;0.00;-0.00
21;2024-08-02;16:06:13;129.70;0.05;0.39;6.39;6.38;0.06;-86.50;60.02;0.00;0.00;-0.00
22;2024-08-02;16:06:13;129.70;0.05;0.32;6.36;6.35;0.05;-87.10;60.03;0.00;0.00;-0.00
23;2024-08-02;16:06:13;129.73;0.05;0.35;6.37;6.36;0.05;-86.90;60.02;0.00;0.00;-0.00
24;2024-08-02;16:06:14;129.71;0.05;0.39;6.39;6.38;0.06;-86.50;60.02;0.00;0.00;-0.00
25;2024-08-02;16:06:14;129.71;0.05;0.35;6.37;6.36;0.06;-86.80;60.02;0.00;0.00;-0.00
26;2024-08-02;16:06:14;129.71;0.05;0.39;6.39;6.38;0.06;-86.50;60.02;0.00;0.00;-0.00
27;2024-08-02;16:06:14;129.66;0.05;0.33;6.36;6.35;0.05;-87.00;60.03;0.00;0.00;-0.00
28;2024-08-02;16:06:14;129.66;0.05;0.34;6.37;6.36;0.05;-87.00;60.02;0.00;0.00;-0.00
29;2024-08-02;16:06:14;129.69;0.05;0.39;6.37;6.36;0.06;-86.50;60.02;0.00;0.00;-0.00
30;2024-08-02;16:06:15;129.70;0.05;0.34;6.38;6.37;0.05;-87.00;60.02;0.00;0.00;-0.00
31;2024-08-02;16:06:15;129.67;0.05;0.35;6.37;6.36;0.06;-86.80;60.02;0.00;0.00;-0.00
32;2024-08-02;16:06:15;129.69;0.05;0.39;6.39;6.38;0.06;-86.50;60.03;0.00;0.00;-0.00
33;2024-08-02;16:06:15;129.66;0.05;0.33;6.36;6.35;0.05;-87.00;60.02;0.00;0.00;-0.00
34;2024-08-02;16:06:15;129.62;0.05;0.33;6.34;6.33;0.05;-87.00;60.02;0.00;0.00;-0.00
35;2024-08-02;16:06:15;129.66;0.05;0.35;6.36;6.35;0.05;-86.90;60.02;0.00;0.00;-0.00
36;2024-08-02;16:06:16;129.67;0.05;0.35;6.37;6.36;0.05;-86.90;60.02;0.00;0.00;-0.00
37;2024-08-02;16:06:16;129.63;0.05;0.35;6.39;6.38;0.05;-86.90;60.02;0.00;0.00;-0.00
38;2024-08-02;16:06:16;129.65;0.05;0.39;6.41;6.40;0.06;-86.50;60.02;0.00;0.01;-0.00
39;2024-08-02;16:06:16;129.65;0.05;0.34;6.39;6.38;0.05;-87.00;60.03;0.00;0.01;-0.00
40;2024-08-02;16:06:16;129.63;0.05;0.33;6.38;6.37;0.05;-87.00;60.03;0.00;0.01;-0.00
41;2024-08-02;16:06:16;129.65;0.05;0.36;6.37;6.36;0.06;-86.80;60.02;0.00;0.01;-0.00
42;2024-08-02;16:06:16;129.67;0.05;0.34;6.36;6.35;0.05;-86.90;60.02;0.00;0.01;-0.00
43;2024-08-02;16:06:17;129.69;0.05;0.36;6.38;6.37;0.06;-86.80;60.02;0.00;0.01;-0.00
