Index;Date;Time;Tensao (V);Corrente (A);Potencia (W);Potencia (VA);Potencia (VAR);Fator de Potencia;Angulo (Grau);Frequencia (Hz);Energia (Wh);Energia (Wh+)
0;2024-08-02;11:34:17;127.40;2.89;358.27;368.21;84.95;0.97;-13.30;59.96;99100000000000005192630646116011999232.00;99100000000000005192630646116011999232.00;99100000000000005192630646116011999232.00
1;2024-08-02;11:34:18;127.40;2.89;358.11;367.86;84.16;0.97;-13.20;59.95;0.11;0.11;-0.00
2;2024-08-02;11:34:19;127.64;2.88;357.40;367.22;84.39;0.97;-13.30;59.96;0.22;0.22;-0.00
3;2024-08-02;11:34:20;127.74;2.87;357.27;367.11;84.44;0.97;-13.30;59.97;0.34;0.34;-0.00
4;2024-08-02;11:34:21;127.50;2.88;358.22;367.82;83.49;0.97;-13.10;59.96;0.46;0.46;-0.00
5;2024-08-02;11:34:23;127.41;2.88;357.22;366.81;83.31;0.97;-13.10;59.96;0.57;0.57;-0.00
6;2024-08-02;11:34:24;127.50;2.88;357.22;366.78;83.16;0.97;-13.10;59.97;0.69;0.69;-0.00
7;2024-08-02;11:34:25;127.81;2.87;357.69;367.24;83.20;0.97;-13.10;59.96;0.79;0.80;-0.00
8;2024-08-02;11:34:26;127.52;2.88;357.28;366.70;82.56;0.97;-13.00;59.97;0.91;0.91;-0.00
9;2024-08-02;11:34:27;127.60;2.88;357.51;366.99;82.86;0.97;-13.00;59.97;1.02;1.02;-0.00
