Tuned Frequency,RF Frequency,Time,Num
426200000.0,426200009.3,19/07/2024 14:30:19,0
426200000.0,426200014.1,19/07/2024 14:30:23,1
426200000.0,426200132.1,19/07/2024 14:30:28,2
426200000.0,426200016.1,19/07/2024 14:30:32,3
426200000.0,426199932.3,19/07/2024 14:30:36,4
426200000.0,426199960.6,19/07/2024 14:30:40,5
426200000.0,426199953.7,19/07/2024 14:30:44,6
426200000.0,426199967.3,19/07/2024 14:30:48,7
426200000.0,426200023.5,19/07/2024 14:30:52,8
426200000.0,426200067.0,19/07/2024 14:30:56,9
426200000.0,426200198.2,19/07/2024 14:31:00,10
426200000.0,426200004.8,19/07/2024 14:31:04,11
426200000.0,426200049.0,19/07/2024 14:31:08,12
426200000.0,426200001.8,19/07/2024 14:31:12,13
426200000.0,426199982.9,19/07/2024 14:31:17,14
426200000.0,426200027.1,19/07/2024 14:31:21,15
426200000.0,426199994.2,19/07/2024 14:31:25,16
426200000.0,426199980.6,19/07/2024 14:31:29,17
426200000.0,426200062.9,19/07/2024 14:31:33,18
426200000.0,426200040.8,19/07/2024 14:31:37,19
426200000.0,426200049.9,19/07/2024 14:31:41,20
426200000.0,426199945.0,19/07/2024 14:31:45,21
426200000.0,426200064.0,19/07/2024 14:31:49,22
426200000.0,426200023.8,19/07/2024 14:31:53,23
426200000.0,426200126.8,19/07/2024 14:31:57,24
426200000.0,426199955.0,19/07/2024 14:32:02,25
426200000.0,426200085.3,19/07/2024 14:32:06,26
426200000.0,426199930.7,19/07/2024 14:32:10,27
426200000.0,426199936.0,19/07/2024 14:32:14,28
426200000.0,426199949.3,19/07/2024 14:32:18,29
