Tuned Frequency,RF Frequency,Time,Num
467500000.0,467510565.623,23/07/2024 11:40:16,0
467500000.0,467500085.9,23/07/2024 11:40:20,1
467500000.0,467500126.2,23/07/2024 11:40:25,2
467500000.0,467500096.3,23/07/2024 11:40:29,3
467500000.0,467499966.8,23/07/2024 11:40:33,4
467500000.0,467500054.3,23/07/2024 11:40:38,5
467500000.0,467499945.8,23/07/2024 11:40:42,6
467500000.0,467500062.5,23/07/2024 11:40:46,7
467500000.0,467500010.5,23/07/2024 11:40:51,8
467500000.0,467500137.8,23/07/2024 11:40:55,9
467500000.0,467500108.6,23/07/2024 11:40:59,10
467500000.0,467500107.9,23/07/2024 11:41:03,11
467500000.0,467500193.1,23/07/2024 11:41:08,12
467500000.0,467499918.7,23/07/2024 11:41:12,13
467500000.0,467499974.0,23/07/2024 11:41:17,14
467500000.0,467500083.1,23/07/2024 11:41:21,15
