Tuned Frequency,RF Frequency,Time,Num
390037500.0,390037248.9,18/07/2024 07:36:19,0
390037500.0,390037385.4,18/07/2024 07:36:23,1
390037500.0,390037445.4,18/07/2024 07:36:28,2
390037500.0,390037134.4,18/07/2024 07:36:32,3
390037500.0,390037250.9,18/07/2024 07:36:36,4
390037500.0,390037261.2,18/07/2024 07:36:40,5
390037500.0,390037253.5,18/07/2024 07:36:44,6
390037500.0,390037274.4,18/07/2024 07:36:48,7
390037500.0,390037337.8,18/07/2024 07:36:52,8
390037500.0,390037141.7,18/07/2024 07:36:56,9
390037500.0,390037351.0,18/07/2024 07:37:00,10
390037500.0,390037321.2,18/07/2024 07:37:04,11
390037500.0,390037296.8,18/07/2024 07:37:08,12
390037500.0,390037304.6,18/07/2024 07:37:12,13
390037500.0,390037331.1,18/07/2024 07:37:16,14
390037500.0,390037185.0,18/07/2024 07:37:21,15
390037500.0,390037368.7,18/07/2024 07:37:25,16
390037500.0,390037289.6,18/07/2024 07:37:29,17
390037500.0,390037226.2,18/07/2024 07:37:33,18
390037500.0,390037278.7,18/07/2024 07:37:37,19
390037500.0,390037323.5,18/07/2024 07:37:41,20
390037500.0,390037354.0,18/07/2024 07:37:45,21
390037500.0,390037319.2,18/07/2024 07:37:49,22
390037500.0,390037216.4,18/07/2024 07:37:53,23
390037500.0,390037333.7,18/07/2024 07:37:57,24
390037500.0,390037353.1,18/07/2024 07:38:01,25
390037500.0,390037343.6,18/07/2024 07:38:05,26
390037500.0,390037134.7,18/07/2024 07:38:09,27
