Tuned Frequency,RF Frequency,Time,Num
410025000.0,410025026.7,26/07/2024 12:39:16,0
410025000.0,410025086.1,26/07/2024 12:39:20,1
410025000.0,410024915.6,26/07/2024 12:39:24,2
410025000.0,410024973.0,26/07/2024 12:39:28,3
410025000.0,410024983.8,26/07/2024 12:39:32,4
410025000.0,410025145.2,26/07/2024 12:39:36,5
410025000.0,410025105.8,26/07/2024 12:39:40,6
410025000.0,410024914.3,26/07/2024 12:39:44,7
410025000.0,410024980.1,26/07/2024 12:39:48,8
410025000.0,410025058.0,26/07/2024 12:39:52,9
410025000.0,410025047.0,26/07/2024 12:39:56,10
410025000.0,410024920.4,26/07/2024 12:40:01,11
410025000.0,410024990.0,26/07/2024 12:40:05,12
410025000.0,410025166.9,26/07/2024 12:40:09,13
410025000.0,410025106.2,26/07/2024 12:40:13,14
410025000.0,410025028.9,26/07/2024 12:40:17,15
410025000.0,410025043.1,26/07/2024 12:40:21,16
410025000.0,410024876.1,26/07/2024 12:40:25,17
410025000.0,410024871.5,26/07/2024 12:40:29,18
410025000.0,410025172.1,26/07/2024 12:40:33,19
410025000.0,410025154.0,26/07/2024 12:40:37,20
410025000.0,410024962.1,26/07/2024 12:40:41,21
410025000.0,410024878.9,26/07/2024 12:40:45,22
410025000.0,410025045.9,26/07/2024 12:40:50,23
410025000.0,410024981.9,26/07/2024 12:40:54,24
410025000.0,410025076.7,26/07/2024 12:40:58,25
410025000.0,410025155.3,26/07/2024 12:41:02,26
410025000.0,410025153.0,26/07/2024 12:41:06,27
410025000.0,410025114.6,26/07/2024 12:41:10,28
410025000.0,410025042.3,26/07/2024 12:41:14,29
410025000.0,410025077.2,26/07/2024 12:41:18,30
410025000.0,410025113.2,26/07/2024 12:41:22,31
410025000.0,410025089.5,26/07/2024 12:41:26,32
410025000.0,410025065.4,26/07/2024 12:41:30,33
410025000.0,410024986.6,26/07/2024 12:41:34,34
410025000.0,410025067.0,26/07/2024 12:41:38,35
