Tuned Frequency,RF Frequency,Time,Num
410025000.0,410025061.6,26/07/2024 12:57:07,0
410025000.0,410025062.0,26/07/2024 12:57:11,1
410025000.0,410024984.7,26/07/2024 12:57:15,2
410025000.0,410025014.5,26/07/2024 12:57:19,3
410025000.0,410025155.1,26/07/2024 12:57:23,4
410025000.0,410025224.5,26/07/2024 12:57:27,5
410025000.0,410024910.6,26/07/2024 12:57:31,6
410025000.0,410024987.6,26/07/2024 12:57:35,7
410025000.0,410025065.8,26/07/2024 12:57:40,8
410025000.0,410025104.3,26/07/2024 12:57:44,9
410025000.0,410024953.2,26/07/2024 12:57:48,10
410025000.0,410024976.9,26/07/2024 12:57:52,11
410025000.0,410025118.4,26/07/2024 12:57:56,12
410025000.0,410025102.4,26/07/2024 12:58:00,13
410025000.0,410024897.3,26/07/2024 12:58:04,14
410025000.0,410025209.5,26/07/2024 12:58:08,15
410025000.0,410025043.5,26/07/2024 12:58:12,16
410025000.0,410025044.0,26/07/2024 12:58:16,17
410025000.0,410025118.7,26/07/2024 12:58:20,18
410025000.0,410025123.1,26/07/2024 12:58:24,19
410025000.0,410025021.6,26/07/2024 12:58:29,20
410025000.0,410025028.1,26/07/2024 12:58:33,21
410025000.0,410025149.7,26/07/2024 12:58:37,22
410025000.0,410025139.8,26/07/2024 12:58:41,23
410025000.0,410025188.9,26/07/2024 12:58:45,24
410025000.0,410025114.8,26/07/2024 12:58:49,25
410025000.0,410025018.3,26/07/2024 12:58:53,26
410025000.0,410025004.0,26/07/2024 12:58:57,27
410025000.0,410025044.1,26/07/2024 12:59:01,28
410025000.0,410025015.9,26/07/2024 12:59:05,29
