Tuned Frequency,RF Frequency,Time,Num
410025000.0,410025109.6,26/07/2024 13:07:44,0
410025000.0,410025142.2,26/07/2024 13:07:49,1
410025000.0,410024891.0,26/07/2024 13:07:53,2
410025000.0,410024970.5,26/07/2024 13:07:57,3
410025000.0,410025001.2,26/07/2024 13:08:01,4
410025000.0,410024911.1,26/07/2024 13:08:05,5
410025000.0,410024971.9,26/07/2024 13:08:09,6
410025000.0,410024894.4,26/07/2024 13:08:13,7
410025000.0,410025104.3,26/07/2024 13:08:17,8
410025000.0,410025103.3,26/07/2024 13:08:21,9
410025000.0,410025011.2,26/07/2024 13:08:25,10
410025000.0,410024910.3,26/07/2024 13:08:29,11
410025000.0,410025123.4,26/07/2024 13:08:33,12
410025000.0,410025144.7,26/07/2024 13:08:38,13
410025000.0,410025107.8,26/07/2024 13:08:42,14
410025000.0,410024989.4,26/07/2024 13:08:46,15
410025000.0,410024935.6,26/07/2024 13:08:50,16
410025000.0,410024995.2,26/07/2024 13:08:54,17
410025000.0,410025132.6,26/07/2024 13:08:58,18
410025000.0,410025146.9,26/07/2024 13:09:02,19
410025000.0,410024939.5,26/07/2024 13:09:06,20
410025000.0,410024896.3,26/07/2024 13:09:10,21
410025000.0,410024927.8,26/07/2024 13:09:14,22
410025000.0,410024902.7,26/07/2024 13:09:18,23
410025000.0,410024930.7,26/07/2024 13:09:22,24
410025000.0,410025063.4,26/07/2024 13:09:27,25
410025000.0,410024979.4,26/07/2024 13:09:31,26
410025000.0,410024925.3,26/07/2024 13:09:35,27
410025000.0,410024968.4,26/07/2024 13:09:39,28
410025000.0,410025080.1,26/07/2024 13:09:43,29
