Tuned Frequency,RF Frequency,Time,Num
415000000.0,414999868.0,18/07/2024 07:42:26,0
415000000.0,414999789.3,18/07/2024 07:42:30,1
415000000.0,414999857.7,18/07/2024 07:42:34,2
415000000.0,414999758.7,18/07/2024 07:42:38,3
415000000.0,414999746.8,18/07/2024 07:42:42,4
415000000.0,414999820.3,18/07/2024 07:42:46,5
415000000.0,414999702.6,18/07/2024 07:42:50,6
415000000.0,414999984.1,18/07/2024 07:42:55,7
415000000.0,414999779.8,18/07/2024 07:42:59,8
415000000.0,414999757.9,18/07/2024 07:43:03,9
415000000.0,414999784.8,18/07/2024 07:43:07,10
415000000.0,414999758.5,18/07/2024 07:43:11,11
415000000.0,414999738.0,18/07/2024 07:43:15,12
415000000.0,414999782.8,18/07/2024 07:43:19,13
415000000.0,414999798.5,18/07/2024 07:43:23,14
415000000.0,414999896.0,18/07/2024 07:43:27,15
415000000.0,414999871.2,18/07/2024 07:43:31,16
415000000.0,414999889.5,18/07/2024 07:43:35,17
415000000.0,414999877.2,18/07/2024 07:43:39,18
415000000.0,414999863.3,18/07/2024 07:43:43,19
415000000.0,414999906.9,18/07/2024 07:43:48,20
415000000.0,414999759.7,18/07/2024 07:43:52,21
415000000.0,414999789.0,18/07/2024 07:43:56,22
415000000.0,414999816.4,18/07/2024 07:44:00,23
415000000.0,414999772.2,18/07/2024 07:44:04,24
415000000.0,414999760.3,18/07/2024 07:44:08,25
415000000.0,414999861.9,18/07/2024 07:44:12,26
415000000.0,414999758.1,18/07/2024 07:44:16,27
415000000.0,414999828.3,18/07/2024 07:44:20,28
