Tuned Frequency,RF Frequency,Time,Num
440125000.0,440125046.2,26/07/2024 13:24:37,0
440125000.0,440125008.7,26/07/2024 13:24:42,1
440125000.0,440124787.2,26/07/2024 13:24:46,2
440125000.0,440124991.5,26/07/2024 13:24:50,3
440125000.0,440125041.9,26/07/2024 13:24:54,4
440125000.0,440125084.6,26/07/2024 13:24:58,5
440125000.0,440124983.2,26/07/2024 13:25:02,6
440125000.0,440124837.2,26/07/2024 13:25:06,7
440125000.0,440125065.7,26/07/2024 13:25:10,8
440125000.0,440125042.2,26/07/2024 13:25:14,9
440125000.0,440124971.4,26/07/2024 13:25:18,10
440125000.0,440125054.9,26/07/2024 13:25:22,11
440125000.0,440124994.5,26/07/2024 13:25:26,12
440125000.0,440124819.9,26/07/2024 13:25:31,13
440125000.0,440125054.6,26/07/2024 13:25:35,14
440125000.0,440125025.7,26/07/2024 13:25:39,15
440125000.0,440124893.0,26/07/2024 13:25:43,16
440125000.0,440125032.5,26/07/2024 13:25:47,17
440125000.0,440125068.4,26/07/2024 13:25:51,18
440125000.0,440124824.0,26/07/2024 13:25:55,19
440125000.0,440125065.4,26/07/2024 13:25:59,20
440125000.0,440124982.9,26/07/2024 13:26:03,21
440125000.0,440124821.1,26/07/2024 13:26:07,22
440125000.0,440125010.8,26/07/2024 13:26:11,23
440125000.0,440125032.2,26/07/2024 13:26:15,24
440125000.0,440125069.9,26/07/2024 13:26:19,25
440125000.0,440125054.1,26/07/2024 13:26:24,26
440125000.0,440124951.7,26/07/2024 13:26:28,27
440125000.0,440124827.3,26/07/2024 13:26:32,28
440125000.0,440125015.0,26/07/2024 13:26:36,29
440125000.0,440125018.4,26/07/2024 13:26:40,30
