Index,Date,Time,Tensao (V),Corrente (A),Potencia (W),Potencia (VA),Potencia (VAR),Fator de Potencia,Angulo (Grau),Frequencia (Hz),Energia (Wh),Energia (Wh+)
0,2024-07-31,18:03:47,127.30000,2.90010,359.77000,369.19000,82.83000,0.97450,-13.00000,60.03800,7.98170,7.98470,-0.00300
1,2024-07-31,18:03:48,127.27000,2.90310,359.76000,369.48000,84.22000,0.97370,-13.20000,60.03600,8.10150,8.10450,-0.00305
2,2024-07-31,18:03:49,127.38000,2.89570,358.76000,368.84000,85.65000,0.97270,-13.40000,60.03800,8.21120,8.21430,-0.00309
3,2024-07-31,18:03:50,127.38000,2.94210,364.89000,374.78000,85.51000,0.97360,-13.20000,60.04100,8.33170,8.33490,-0.00313
4,2024-07-31,18:03:51,127.30000,2.92450,361.72000,372.27000,88.02000,0.97160,-13.70000,60.02900,8.45240,8.45550,-0.00318
5,2024-07-31,18:03:53,127.36000,2.92330,362.48000,372.30000,84.93000,0.97360,-13.20000,60.03800,8.56320,8.56640,-0.00322
6,2024-07-31,18:03:54,127.25000,2.92050,362.41000,371.63000,82.24000,0.97520,-12.80000,60.04600,8.68410,8.68730,-0.00326
7,2024-07-31,18:03:55,127.34000,2.91470,360.96000,371.16000,86.39000,0.97250,-13.50000,60.05000,8.80480,8.80810,-0.00331
8,2024-07-31,18:03:56,127.15000,2.90770,359.79000,369.72000,85.14000,0.97310,-13.30000,60.04100,8.91430,8.91760,-0.00335
9,2024-07-31,18:03:57,127.23000,2.90520,360.23000,369.62000,82.79000,0.97460,-12.90000,60.03600,9.03390,9.03730,-0.00339
10,2024-07-31,18:03:58,127.44000,2.88700,358.06000,367.91000,84.57000,0.97320,-13.30000,60.04300,9.14360,9.14700,-0.00343
11,2024-07-31,18:04:00,127.45000,2.89160,358.23000,368.54000,86.56000,0.97200,-13.60000,60.02600,9.26320,9.26670,-0.00348
12,2024-07-31,18:04:01,127.22000,2.89850,358.68000,368.75000,85.60000,0.97270,-13.40000,60.03100,9.38310,9.38670,-0.00352
13,2024-07-31,18:04:02,127.24000,2.88950,357.93000,367.65000,83.98000,0.97360,-13.20000,60.02600,9.49290,9.49650,-0.00357
14,2024-07-31,18:04:03,127.18000,2.89510,358.55000,368.19000,83.70000,0.97380,-13.10000,60.03100,9.61250,9.61610,-0.00361
15,2024-07-31,18:04:04,127.24000,2.89580,358.56000,368.47000,84.87000,0.97310,-13.30000,60.02200,9.73240,9.73610,-0.00365
16,2024-07-31,18:04:05,127.21000,2.89990,358.69000,368.91000,86.24000,0.97230,-13.50000,60.02400,9.85230,9.85600,-0.00370
17,2024-07-31,18:04:07,127.34000,2.91970,361.42000,371.80000,87.24000,0.97210,-13.60000,60.02200,9.96270,9.96640,-0.00374
18,2024-07-31,18:04:08,127.00000,2.91150,360.24000,369.76000,83.37000,0.97420,-13.00000,60.02200,10.08200,10.08600,-0.00378
19,2024-07-31,18:04:09,127.25000,2.91470,360.77000,370.89000,86.04000,0.97270,-13.40000,60.02400,10.20300,10.20700,-0.00383
20,2024-07-31,18:04:10,127.11000,2.89920,359.25000,368.51000,82.10000,0.97490,-12.90000,60.01200,10.31300,10.31700,-0.00387
21,2024-07-31,18:04:11,127.06000,2.91030,360.45000,369.80000,82.64000,0.97470,-12.90000,60.01400,10.43300,10.43600,-0.00391
22,2024-07-31,18:04:12,126.97000,2.90590,359.10000,368.96000,84.73000,0.97330,-13.30000,60.01000,10.55200,10.55600,-0.00396
23,2024-07-31,18:04:14,127.00000,2.90730,359.46000,369.22000,84.31000,0.97360,-13.20000,60.01000,10.66200,10.66600,-0.00400
24,2024-07-31,18:04:15,127.10000,2.90250,359.43000,368.91000,83.13000,0.97430,-13.00000,60.00700,10.78200,10.78600,-0.00404
25,2024-07-31,18:04:16,126.92000,2.91920,361.00000,370.49000,83.35000,0.97440,-13.00000,60.00200,10.89200,10.89600,-0.00408
26,2024-07-31,18:04:17,127.06000,2.92190,361.33000,371.26000,85.27000,0.97330,-13.30000,60.00700,11.01200,11.01600,-0.00413
27,2024-07-31,18:04:18,126.81000,2.92780,361.66000,371.28000,83.96000,0.97410,-13.10000,60.00200,11.13300,11.13700,-0.00417
28,2024-07-31,18:04:19,127.02000,2.90930,359.47000,369.54000,85.64000,0.97280,-13.40000,60.00200,11.25300,11.25700,-0.00421
29,2024-07-31,18:04:21,127.17000,2.90770,359.48000,369.76000,86.58000,0.97220,-13.50000,60.02200,11.36200,11.36700,-0.00425
30,2024-07-31,18:04:22,127.24000,2.91060,359.97000,370.34000,87.02000,0.97200,-13.60000,60.03600,11.48200,11.48700,-0.00430
31,2024-07-31,18:04:23,127.09000,2.91410,360.30000,370.36000,85.71000,0.97290,-13.40000,60.02200,11.60200,11.60700,-0.00434
32,2024-07-31,18:04:24,127.33000,2.87830,356.89000,366.51000,83.44000,0.97370,-13.20000,60.03400,11.72100,11.72600,-0.00439
33,2024-07-31,18:04:25,127.07000,2.89380,357.89000,367.72000,84.47000,0.97330,-13.30000,60.01700,11.83100,11.83500,-0.00443
34,2024-07-31,18:04:26,127.27000,2.90000,358.77000,369.09000,86.67000,0.97200,-13.60000,60.02900,11.95000,11.95500,-0.00447
35,2024-07-31,18:04:28,127.03000,2.89660,357.98000,367.95000,85.04000,0.97290,-13.40000,60.01400,12.07000,12.07400,-0.00452
36,2024-07-31,18:04:29,127.07000,2.88840,357.45000,367.03000,83.31000,0.97390,-13.10000,60.04100,12.17900,12.18400,-0.00456
37,2024-07-31,18:04:30,126.82000,2.89310,357.45000,366.89000,82.72000,0.97430,-13.00000,60.01700,12.29800,12.30300,-0.00460
38,2024-07-31,18:04:31,127.20000,2.88530,357.04000,366.99000,84.90000,0.97290,-13.40000,60.01400,12.41700,12.42200,-0.00465
39,2024-07-31,18:04:32,126.95000,2.91460,359.84000,370.02000,86.19000,0.97250,-13.50000,60.01400,12.52700,12.53200,-0.00469
40,2024-07-31,18:04:33,126.76000,2.91590,359.37000,369.62000,86.44000,0.97230,-13.50000,60.01400,12.64700,12.65200,-0.00473
41,2024-07-31,18:04:35,127.20000,2.89300,358.13000,368.00000,84.63000,0.97320,-13.30000,60.00200,12.76700,12.77100,-0.00478
42,2024-07-31,18:04:36,127.36000,2.85900,354.58000,364.11000,82.76000,0.97380,-13.10000,60.01200,12.88600,12.89100,-0.00482
43,2024-07-31,18:04:37,127.27000,2.88580,357.73000,367.27000,83.14000,0.97400,-13.10000,60.00500,13.00500,13.01000,-0.00487
44,2024-07-31,18:04:38,127.07000,2.89610,358.07000,368.02000,84.99000,0.97300,-13.40000,60.00000,13.11500,13.12000,-0.00491
45,2024-07-31,18:04:39,127.19000,2.89730,358.22000,368.51000,86.48000,0.97210,-13.60000,60.00500,13.23400,13.23900,-0.00495
46,2024-07-31,18:04:41,127.18000,2.89980,358.63000,368.80000,86.03000,0.97240,-13.50000,60.01000,13.35400,13.35900,-0.00500
47,2024-07-31,18:04:42,127.22000,2.89550,358.57000,368.37000,84.39000,0.97340,-13.20000,60.01200,13.47300,13.47800,-0.00504
48,2024-07-31,18:04:43,126.91000,2.89590,358.10000,367.52000,82.65000,0.97440,-13.00000,60.01200,13.58300,13.58800,-0.00508
49,2024-07-31,18:04:44,127.65000,2.29980,283.18000,293.57000,77.40000,0.96460,-15.30000,60.01200,13.66900,13.67400,-0.00515
50,2024-07-31,18:04:45,127.30000,2.52830,311.53000,321.85000,80.83000,0.96790,-14.50000,60.01200,13.77000,13.77500,-0.00521
